weight,token
0.009,  don
-0.03,  down
0,  dsinc
0.002,  e
0.006,  each
0.007,  earth
0,  ece
0.01,  ecn
0,  eczcaw@mips
0,  ed
0,  edu>
-0.02,  either
0.017,  else
0,  end
0,  eng
-0.01,  enough
0.01,  etc
0.002,  eternal
0,  europa
0.016,  even
0.014,  event
0.021,  events
0,  ever
0.02,  every
0,  everyone
0,  everything
0.053,  evidence
0,  evolution
-0.03,  exactly
0.006,  example
-0.01,  examples
-0.01,  except
-0.02,  exist
0.004,  existence
0,  exists
0.013,  explain
0.002,  explicitly
0,  fact
0,  fair
0.016,  faith
-0.01,  fall
0,  false
0.006,  falsifiable
0.003,  far
0,  fault
0.013,  few
0.015,  fi
0.002,  fido
0.02,  find
-0.02,  first
-0.06,  for
-0.03,  form
0.042,  found
0.009,  frank@D012S658
0,  free
-0.01,  friends
0,  from
0,  fs7
0.001,  full
0,  g
0,  gatech
0.001,  general
0.024,  get
-0.05,  getting
-0.01,  give
-0.02,  given
0.009,  go
-0.01,  goal
0,  goals
0.022,  god
0.004,  gods
0.026,  going
0.008,  gone
0.034,  good
-0.06,  got
-0.01,  gov
0,  gravity
0.024,  group
0,  gtefsd
0,  guess
-0.01,  guy
0.008,  had
0.038,  halat
0.012,  halat@pooh
-0.01,  happen
0.036,  happened
0,  happens
0.011,  hard
-0.01,  harvard
0.029,  has
0,  hate
-0.01,  have
0.002,  haven
0.022,  having
0.034,  he
0,  head
0,  heads
0.014,  hear
0.031,  heart
0.014,  her
0,  here
0.003,  higher
0.006,  him
0.025,  himself
0.02,  his
-0.01,  history
0.012,  hole
0.01,  hope
0.016,  how
0,  however
0.007,  howland
-0.02,  hp
-0.02,  human
0.019,  humans
0,  husc-news
0.001,  hypothesis
0.006,  i
0,  ibm
0.001,  idea
-0.01,  if
0.006,  implies
-0.01,  important
0.006,  in
0,  include
0,  incorrect
-0.01,  increase
0,  indeed
0.003,  indiana
0,  individual
0.02,  information
0.006,  innocent
0,  ins
0,  instance
0.016,  interesting
0.018,  into
0.017,  is
0.02,  isn
0.005,  issue
0.022,  it
0,  its
0.012,  jhu
0.007,  jon
-0.05,  just
0,  justify
0.004,  kaflowitz
-0.01,  keep
0,  kill
0,  killed
0,  killing
0.006,  kmr4@po
0.053,  know
0,  knowledge
0.009,  knows
0.006,  ksu
0,  lack
-0.02,  large
0,  last
0.009,  latter
0,  learn
0.014,  least
0.015,  left
0.004,  less
0,  let
0.003,  liar
-0.01,  life
-0.04,  like
0.009,  likely
0.019,  line
0.012,  lis
0.022,  little
-0.01,  live
0,  lives
0.002,  livesey
0.007,  livesey@solntze
0,  ll
0,  llnl
0.035,  local
0,  logic
0.006,  long
-0.01,  look
0.024,  looking
0.002,  looks
0,  lot
0.018,  love
0.04,  m
0.028,  made
0.023,  magnesium
-0.01,  make
0.006,  makes
0.003,  making
0,  many
0.005,  mathew
-0.01,  matter
0.052,  may
0.027,  mchp
0,  me
0.057,  mean
-0.01,  means
0.012,  meant
0,  measure
0,  mechanics
0.001,  mentioned
0,  merely
0.02,  might
0.008,  mind
0,  misc
-0.01,  mistake
0.006,  moe
0.014,  monash
0.017,  moral
0.001,  morality
-0.07,  more
-0.05,  most
0,  motss
0,  move
0.019,  mps
-0.01,  mu
0.026,  much
0.017,  must
0.02,  my
0.008,  myself
-0.02,  na
-0.02,  nasa
0,  natural
0,  nature
0,  near
-0.02,  necessary
0.004,  need
-0.01,  net
0.012,  network
0.006,  never
0.001,  new
0,  news
0.012,  news-feed-1
-0.01,  night
0.007,  nntp-server
0.017,  no
0,  noc
0.053,  not
0.013,  nothing
0,  nott
0.023,  now
0.006,  number
0,  object
0.033,  objective
0.001,  observation
0.002,  observations
0.004,  observed
0.017,  obvious
0.002,  odin
0.041,  of
0.009,  often
0.008,  ohio-state
-0.01,  olivea
-0.08,  on
0.006,  once
0,  one
0,  only
-0.02,  open
0.013,  opinion
0,  or
0.006,  orbit
0.001,  original
0.061,  origins
-0.02,  other
0.023,  others
0.015,  oulu
-0.02,  our
-0.01,  out
-0.04,  over
0.004,  own
0.003,  p00261@psilink
0.013,  pacific
0.02,  part
0,  particular
0,  passages
-0.01,  past
0,  pattern
0,  peace
0.012,  peachnet
-0.03,  people
0,  percent
0,  perfect
0,  perhaps
0.001,  person
0,  physics
0.019,  pipex
0.01,  place
-0.03,  please
0.012,  point
0,  population
0.001,  position
0,  possible
0,  post
0.022,  posting
0,  power
0.007,  predictions
0.006,  premise
0.022,  present
0,  pretty
0.002,  principle
0.004,  probabilities
0.008,  probably
0.047,  problem
-0.04,  problems
0.01,  psu
0.022,  purdue
-0.01,  put
0,  quantum
0.058,  question
-0.03,  questions
0.026,  quite
0.034,  quote
0.024,  quotes
0.006,  rather
0,  re
-0.01,  read
0.021,  reading
0.011,  real
0.005,  reality
0.018,  really
-0.03,  reason
0.042,  reasonable
0.03,  reasons
0.004,  refer
0.007,  reference
0.002,  regret
0.002,  relativism
0.005,  relativity
0.005,  relevant
0.371,  religion
0.011,  religious
0.018,  rest
0.007,  reston
0,  results
0.03,  right
0.005,  rusnews
0.001,  rz
0.098,  s
0,  said
0.025,  same
0.024,  sandvik@newton
0.022,  say
0.004,  saying
0,  says
0.013,  school
0.005,  science
0.018,  sdd
-0.03,  second
0.027,  see
-0.02,  seem
0.014,  seems
0.01,  seen
0,  sei
0.023,  sense
0,  served
0,  set
0.007,  sgi
0.013,  sgiblab
0.001,  sgigate
-0.01,  she
0.007,  short
-0.05,  should
0.021,  show
0.006,  side
0.004,  silly
0.003,  similar
0.016,  simply
0.005,  since
-0.03,  situation
0.027,  sni
0.042,  so
-0.05,  soc
0,  social
0.043,  sol
0.002,  solntze
0.034,  some
0,  someone
0.061,  something
-0.01,  sometimes
0.027,  source
0.018,  sources
-0.01,  spool
-0.01,  stand
0,  start
0,  state
0.018,  statement
-0.01,  statements
0,  stay
0.006,  still
0.004,  stuff
0.004,  subject
0.009,  subjective
0,  such
0.001,  sun
0,  support
0.002,  supported
-0.01,  sura
-0.01,  sure
-0.04,  swrinde
0,  system
-0.02,  t
0,  take
0,  talk
0,  talking
0.009,  tell
-0.01,  telling
0,  terms
0.008,  text
0.01,  texts
-0.09,  than
0,  that
-0.02,  the
-0.02,  their
0.002,  theism
-0.02,  them
-0.04,  themselves
0.03,  then
0.001,  theological
0.014,  theories
0.012,  theory
-0.01,  there
0,  these
0,  they
0.011,  thing
0.019,  things
-0.03,  think
-0.03,  this
0.019,  those
0.019,  though
-0.04,  thought
0,  thoughts
0.022,  thread
-0.01,  through
0.041,  thus
-0.01,  time
0.017,  times
-0.02,  to
0.012,  told
0,  too
0,  took
0,  total
0.006,  translation
0,  true
0.008,  truth
0.006,  try
-0.01,  trying
0.001,  tu-bs
-0.02,  two
0.005,  type
0.026,  u
0.003,  uci
0.003,  ucs
0.012,  ucsd
-0.01,  udel
0,  uiuc
0,  uk
0.004,  uk>
0.014,  uknet
-0.01,  umd
0.016,  umn
0.008,  under
0.018,  understand
0.035,  unm
0,  until
-0.04,  up
0.025,  us
-0.02,  usc
-0.05,  use
0.036,  used
0.008,  useful
-0.04,  usenet
0,  using
-0.04,  utexas
0.012,  uucp
-0.02,  uunet
0.014,  uwm
0.004,  valid
0.004,  value
0,  values
0.018,  various
-0.01,  ve
0.033,  very
0.002,  view
0.005,  w165w@mantis
-0.02,  want
0,  war
0,  warwick
-0.03,  was
0.022,  washington
-0.01,  wasn
0.039,  way
0,  ways
0,  we
-0.04,  well
0,  were
0.029,  what
0.007,  whatever
-0.05,  when
-0.02,  where
0,  whether
0.019,  which
-0.01,  who
0.011,  why
0.013,  will
0.014,  wisc
-0.01,  wish
0.018,  with
0.013,  without
0.015,  won
-0.03,  wonder
0.003,  word
0,  words
0,  world
0,  worse
0.013,  would
0,  wouldn
0.007,  wpd
0.001,  wri
-0.01,  writes
-0.01,  writing
0,  wrong
0.002,  wrote
0.001,  wupost
0,  x
0,  yale
0,  years
0.025,  yes
-0.02,  yet
0.017,  you
-0.04,  your
0.01,  zaphod
-0.03,  |
0.016,  |>
0.005,  }
0.002,  &
-0.01,  
0,  ---
-0.03,  ----
0,  ------
0.005,  ---------
0.015,  ->
-0.04,  10
-0.02,  100
-0.01,  128
0.006,  29
-0.04,  36
0.032,  37
-0.01,  39
0.007,  43
-0.02,  45
-0.02,  48
0,  49
-0.01,  50
0,  51
0,  56
0.005,  57
0,  64
0.026,  7
0.02,  8
0.031,  9
-0.01,  92
0.004,  95
0,  <
0,  Adobe
0,  Advanced
-0.04,  Also
0.008,  Analysis
-0.02,  Andrew
0,  Any
0.01,  Army
0,  Australia
0,  Ave
-0.01,  BBS
0,  Both
0,  Box
0.012,  CA
0.002,  Call
-0.01,  Canada
-0.01,  Center
0.004,  Computing
-0.02,  D
0,  Digital
-0.04,  Does
0.005,  Dr
-0.01,  E-mail
-0.01,  Email
0,  Engineering
0.006,  Even
0.003,  Followup-To
0,  Group
0,  IBM
0,  II
0.025,  Internet
-0.01,  MA
0,  Many
0.006,  Martin
0.02,  Michael
0.003,  Most
0.003,  NOTE
-0.03,  National
-0.01,  New
0.014,  North
0.007,  Note
0.034,  OS/2
0,  Office
0.003,  Ontario
-0.01,  Other
0,  PC
0.012,  Paul
-0.01,  Peter
0,  Phone
-0.01,  Project
0,  Road
0,  SGI
0.009,  See
-0.01,  Software
0,  Some
0.012,  Steve
0.036,  Systems
0,  Thanks
-0.01,  Thomas
0.029,  Thu
0.003,  UNIX
-0.01,  US
-0.04,  USA
0,  UUCP
0,  Unix
0,  Use
-0.03,  Usenet
0,  Using
0.001,  VMS
0.019,  W
-0.02,  When
-0.02,  Where
-0.01,  \
0,  _
0,  _The
0,  access
0,  address
0,  al
-0.01,  allow
0,  allows
-0.01,  almost
0,  amount
0,  anonymous
0,  answers
0.005,  anybody
-0.01,  anyway
0,  approach
0,  area
-0.01,  areas
0.007,  author
0,  automatically
0,  available
0.045,  back
0.001,  basic
0.004,  bits
0,  board
-0.04,  ca
0.002,  capability
0,  ch
0.009,  change
0,  changes
0,  check
-0.01,  choice
0.004,  cl
-0.01,  code
0,  color
0.011,  command
-0.01,  commercial
0.002,  company
0.019,  complete
0.009,  complex
0.001,  contact
0.003,  contains
-0.02,  control
0,  convert
0.003,  converting
0.035,  convex
0.012,  copy
0,  couple
0,  create
-0.02,  current
0.004,  currently
0,  data
0.019,  deal
0,  decwrl
0,  defined
-0.01,  described
0,  designed
0.01,  details
0.001,  developed
0,  device
0.002,  devices
0.033,  directly
0.005,  display
0,  distribution
0.012,  documentation
0.027,  doing
0.004,  draw
0.019,  e-mail
0,  easily
0.004,  edge
-0.01,  effect
0,  email
0,  entire
0.001,  entry
0,  environment
0.012,  equipment
0.003,  error
0,  errors
0,  et
-0.04,  expect
0.002,  fast
0,  feel
0.015,  fi>
0.007,  files
-0.02,  fine
0,  fit
-0.01,  following
0.005,  frames
0.007,  ftp
0.006,  function
0,  functions
0.001,  further
0,  ge
0,  great
0.019,  groups
0.013,  hand
0,  heard
0,  help
0,  high
0.004,  image
0.004,  includes
0.015,  including
0,  info
0.045,  inside
-0.01,  instead
0,  interested
0,  internet
0.001,  ira
-0.01,  jpl
-0.01,  kind
0,  known
0.006,  language
0,  larger
0.04,  later
0,  latest
-0.01,  level
0.004,  library
0,  limited
0.01,  lines
0.007,  list
0.009,  log
0,  loss
0.024,  machine
0,  mail
0.015,  math
0.018,  mcsun
0.004,  mil
-0.04,  mit
0.011,  mode
0,  model
0,  movie
0,  name
0.002,  nd
-0.01,  news@news
-0.01,  newsgroup
0.007,  nice
0,  note
0,  objects
0.001,  obtain
0,  off
0,  offers
0,  old
0.001,  order
-0.01,  org
-0.01,  output
0,  package
0,  pass
-0.01,  per
0.001,  performance
0,  permission
0.005,  picture
0,  plus
0.003,  points
-0.01,  positions
0.002,  posted
-0.02,  print
0,  process
0.004,  program
-0.01,  programs
0.007,  provide
0.006,  provided
-0.01,  public
0.006,  purpose
0,  purposes
0,  quality
-0.01,  range
0.007,  regular
0,  removal
0,  require
0.009,  research
0,  result
-0.02,  resulting
-0.03,  rochester
-0.02,  run
0,  runs
0,  save
0.015,  sci
0.003,  scientific
0.003,  se
0,  selection
-0.01,  send
0.002,  sets
0.01,  setting
0,  several
0.001,  shape
-0.02,  simple
0,  single
0,  size
0.004,  slightly
-0.02,  small
0,  smaller
0,  sort
0,  specific
0,  speed
-0.02,  standard
0.002,  stanford
0,  supports
0,  sys
0.004,  systems
0.002,  table
0.013,  takes
0.013,  tape
-0.01,  thanks
0,  three
0.016,  title
0.005,  together
0,  tool
0.007,  tools
0,  top
0,  torn
0.001,  transformations
0.001,  types
-0.01,  ufl
0.001,  uka
0.009,  unix
0.025,  unless
0,  user
0,  users
0,  uses
0.026,  usually
0,  variety
-0.01,  version
0.011,  versions
0,  via
-0.01,  while
-0.02,  whole
0.01,  wide
0.006,  window
-0.01,  windows
0,  work
0.005,  working
0.008,  works
0.004,  worth
0,  write
0.015,  written
0.01,  y
0,  year
0.012,  yourself
-0.02,  ###
0,  -------------------------------------------------------------------------------
0.006,  //
0,  147
-0.05,  47
0.017,  54
0.024,  59
0,  <1993Apr18
0.039,  <1993Apr26
0.001,  >C
0.035,  >From
0,  >of
-0.01,  @
-0.02,  Access
0,  Alan
0,  Article-I
0,  BITNET>
-0.02,  Colorado
0.007,  Communications
0.01,  Corp
0,  Corporation
0.003,  Diego
0.027,  F
-0.02,  First
0,  K
-0.01,  L
0,  MI
0,  MP
0.01,  MY
0.002,  NT
-0.02,  Network
-0.03,  Online
0.011,  Program
0,  Public
0.004,  Rob
0.012,  San
0.006,  Sciences
-0.02,  Services
-0.01,  Smith
0,  St
0.031,  Stanford
0.006,  Summary
0.002,  Tom
0.019,  ^
0,  ____
-0.02,  acs
0.017,  appreciate
0,  backup
0.006,  bad
0,  batcomputer
0.007,  box
-0.01,  bus
0.01,  buy
0.006,  byu
0.007,  cache
0.012,  caen
0.02,  came
0.004,  canterbury
-0.01,  chevron
0.002,  chip
0.004,  client
0.013,  close
0,  comparison
-0.02,  cost
-0.01,  csn
0,  demon
0.001,  development
0.003,  document
0.001,  done
0,  drive
0,  du
0,  duke
0,  elroy
0.001,  emory
0.004,  especially
0,  experience
-0.01,  fan
0,  fix
0.006,  gave
0.005,  goes
0.004,  greatly
0,  home
0.006,  intel
0,  load
0.007,  loaded
0.004,  luck
0,  market
0.012,  match
0.022,  maybe
0.012,  message
-0.01,  mine
-0.01,  money
0,  month
0.001,  ms
0,  msu
0.001,  names
0.014,  needed
-0.01,  needs
0.004,  net>
0.042,  next
0.038,  nl
0.014,  nodak
0,  not-for-mail
0,  noticed
0.004,  nz>
0,  ogicse
-0.03,  opinions
0.016,  org>
0.023,  pitt
-0.01,  price
0.005,  products
0.002,  psinntp
0,  ran
0.008,  recently
0.024,  released
-0.01,  resources
0,  response
0,  running
0,  security
0.012,  share
0,  solution
0.002,  speak
0,  std
0,  straight
0,  supporters
0.019,  supposed
-0.01,  tek
0.002,  track
0.019,  twice
0,  ubc
-0.03,  uchicago
0,  uga
0.01,  umass
0,  unit
-0.01,  upenn
-0.01,  usa
0,  uwaterloo
0.009,  ux1
0,  vs
0.004,  wait
-0.02,  went
0.012,  win
0,  wondering
0,  $50
-0.01,  --->
0.005,  -0400
-0.01,  241-9760
0,  250
0,  408
-0.02,  <1993Apr23
0.002,  AT
0.006,  Actually
0,  Andy
0.011,  Anyway
0.001,  Are
-0.02,  Board
-0.02,  Bulletin
0.001,  Case
0.011,  Chris
0.003,  Cleveland
-0.01,  Communication
0,  Edu
0.063,  Edu>
0,  Edward
0.009,  Eric
0.011,  Freenet
0.012,  GUN
0.007,  Hawaii
0,  III
0.056,  INS
0.012,  IT
-0.05,  Just
0.002,  Laboratory
-0.02,  Mail
0,  Michigan
-0.01,  NCR
0.003,  NETCOM
-0.04,  NO
0.007,  Not
0,  ON
0,  Ohio
0.003,  On-line
-0.02,  Orleans
-0.02,  Ozone
0,  Pennsylvania
-0.01,  Phil
0.003,  Reserve
-0.02,  Richard
0.006,  Sat
0,  Sean
-0.01,  Service
0,  Standard
0.036,  Stephen
0.021,  Tony
0.002,  Univ
0,  Washington
0.003,  Western
0.01,  Will
-0.01,  Would
0,  add
0,  ames
0,  and/or
0,  asking
0.004,  assert
0.002,  b
-0.01,  bellcore
0.004,  bet
-0.01,  buffalo
0,  buying
0,  cable
0.015,  changed
0.003,  cleveland
0,  clock
0.013,  comm
0,  comments
0.002,  communications
-0.01,  cornell
0.001,  count
-0.01,  csus
0,  date
0,  days
0.002,  detect
0.002,  dk
0,  extra
0,  flow
0.018,  follow
0.002,  friend
0.017,  fsu
-0.01,  future
0,  game
0.006,  gives
-0.02,  gov>
0,  guest
0.005,  happy
0.007,  hook
0,  impossible
0.001,  interrupt
0.002,  leave
0.005,  low
0,  minutes
0.004,  missing
0.014,  mitre
0.008,  months
0.009,  mot
0,  msen
0,  music
-0.02,  netcom
0,  netnews
0,  nigel
0.006,  none
0.014,  nwnet
0.001,  pay
0.007,  phone
0.002,  primate
0.004,  properly
0.004,  rate
0.019,  ready
0.011,  replies
0.008,  reply
0.022,  request
-0.01,  rpi
0.002,  saimiri
0.005,  sell
0.007,  sent
0.007,  serial
-0.01,  service
0.017,  special
0.006,  specifically
0.004,  thinking
0,  transfer
0,  utah
0.007,  uug
0,  waiting
0.003,  wanted
0,  wants
0.012,  willing
-0.01,  000
0,  200
-0.05,  53
0.007,  60
0,  70
0.001,  700
-0.01,  >If
0,  Adams
0,  Ann
0,  Arbor
0.031,  Brian
0,  Denver
0.011,  Disclaimer
0,  Doug
0.006,  Intel
0.006,  MAC
0,  Media
0,  NATIONAL
0,  PST
0,  Quantum
-0.01,  Sometimes
0,  Their
0.003,  With
0.007,  World
0.004,  Yes
0,  _/
0,  acns
0,  additional
0.004,  advantage
-0.02,  advice
0,  apparent
0.009,  appear
0.006,  bailey
-0.01,  berkeley
0,  built
0.016,  care
-0.01,  cheaper
0,  choose
0.001,  clue
0.005,  comparable
0.007,  cut
-0.01,  dec
-0.03,  desy
0.011,  easy
0.015,  ends
0,  enet
0.011,  field
0,  finally
0.009,  floating
0.002,  forward
0,  four
0,  front
0,  games
0.009,  gotten
-0.01,  half
0,  heat
0.004,  helpful
-0.01,  hold
0.003,  hours
-0.01,  iastate
0.006,  internal
0.012,  involved
0.002,  isu
-0.02,  itself
0.006,  kept
0.003,  kit
0.004,  light
0,  lots
0,  major
-0.03,  media
0,  million
0,  moved
0,  ns
0,  numbers
0,  nwu
0.003,  obtained
0.008,  ones
0.017,  operation
-0.01,  option
0.006,  owner
0,  particularly
0,  parts
-0.01,  personal
0.01,  play
0.006,  portal
0,  prices
0.003,  purchased
0.007,  ram
-0.01,  recall
0.005,  received
0.003,  release
0.002,  remove
-0.02,  responsible
0,  room
0,  sleep
0.02,  soon
0.008,  sound
0,  sounds
0,  speakers
0.005,  strange
0.007,  student
-0.01,  suggest
-0.01,  supply
-0.01,  suspect
0.005,  taken
0.008,  technical
0,  truly
0.038,  tue
0.012,  turn
0,  turned
0,  umich
0.02,  uoregon
-0.02,  usenet@news
-0.01,  usual
0.01,  uswest
0.004,  v1
0.031,  views
-0.01,  wall
0.029,  watson
-0.01,  week
0.011,  weeks
0.005,  white
-0.02,  within
0,  worked
0,  wright
0.003,  #include
0.006,  310
0,  ==
0,  >|>
0,  Associates
0,  Berkeley
0,  Card
-0.01,  Code
0,  Control
0.001,  Daniel
-0.01,  Do
0,  Info
-0.01,  International
0.006,  Labs
-0.01,  Larry
-0.02,  MIT
-0.02,  Of
0.002,  Open
0,  Originator
0,  Price
0,  Release
0.002,  Santa
0.023,  Server
0.007,  Street
-0.01,  Support
0.001,  Technical
0.004,  Text
0,  UK
0.009,  UTC
0,  Unfortunately
0,  __/
0.003,  abuse
-0.03,  allowed
-0.01,  avoid
0,  build
0.001,  calls
0.002,  character
-0.01,  colostate
0,  compiled
0,  conference
0.015,  continue
0.004,  copies
0,  creative
0.004,  cv
-0.01,  enterpoop
0.006,  final
0,  followed
0,  guidelines
0.002,  h
0.024,  holes
0,  included
0,  judges
0.018,  key
0,  limit
0.003,  modify
0.007,  multiple
0.013,  n
0.002,  normal
0,  optional
0,  options
0,  page
0,  pointing
0,  previous
0.003,  prior
0,  receive
-0.03,  required
0,  return
0,  rules
0,  sample
0.005,  screens
0,  separate
0,  specify
0.037,  uta
0.009,  uucp>
0.002,  winners
-0.01,  {
0.004,  $20
0,  $300
0,  $40
0,  **
0,  ***
