no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,arrival_year,no_of_special_requests,room_type_reserved,market_segment_type,type_of_meal_plan,booking_status
1,0,0,1,0,2,9,10,0,0,0,0,2017,1,Room_Type 1,Complementary,Meal Plan 1,Not_Canceled
2,0,2,1,0,86,12,18,0,0,0,75,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,3,0,30,10,5,0,0,0,158,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,26,4,15,0,0,0,142,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,0,1,0,55,4,6,0,0,0,80,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,0,0,34,11,14,0,0,0,88,2018,2,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,4,0,18,3,9,0,0,0,117,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
3,0,1,1,0,267,12,31,0,0,0,122,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
3,0,2,5,0,155,6,28,0,0,0,122,2018,2,Room_Type 4,Online,Meal Plan 1,Canceled
2,2,0,2,0,83,4,1,0,0,0,159,2018,0,Room_Type 6,Online,Meal Plan 1,Canceled
2,0,0,5,0,128,10,11,0,0,0,132,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,2,0,0,20,12,25,0,0,0,88,2018,2,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,4,0,40,3,14,0,0,0,99,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,1,0,0,1,10,17,0,0,0,150,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,3,0,196,9,4,0,0,0,96,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,0,2,0,188,6,15,0,0,0,130,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,3,0,146,8,9,0,0,0,114,2018,0,Room_Type 5,Offline,Meal Plan 1,Not_Canceled
2,0,1,2,1,68,3,18,0,0,0,105,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,5,0,171,8,30,0,0,0,112,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,1,0,2,1,134,8,4,0,0,0,131,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,4,0,118,4,13,0,0,0,91,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,0,0,189,10,23,0,0,0,86,2018,2,Room_Type 1,Online,Not Selected,Not_Canceled
3,0,1,2,0,55,5,13,0,0,0,159,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,0,4,0,55,12,13,0,0,0,75,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,16,10,31,0,0,0,95,2017,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,24,10,8,0,0,0,107,2017,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,8,2,16,0,0,0,64,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,4,1,10,11,2,0,0,0,83,2017,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,3,0,0,9,21,0,0,0,155,2017,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,12,6,30,0,0,0,102,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,1,0,32,9,5,0,0,0,95,2017,3,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,182,9,30,0,0,0,118,2018,2,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,3,0,40,6,30,0,0,0,118,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,2,2,2,0,116,6,26,0,0,0,184,2018,1,Room_Type 2,Online,Meal Plan 1,Canceled
3,0,2,2,1,123,8,13,0,0,0,156,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
3,0,2,5,0,40,4,22,0,0,0,136,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,1,2,5,0,105,11,12,0,0,0,103,2018,3,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,443,4,29,0,0,0,65,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,3,0,2,11,14,0,0,0,103,2017,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,286,9,16,0,0,0,59,2018,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,1,3,0,68,3,10,0,0,0,74,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,3,0,148,5,5,0,0,0,105,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,30,3,30,0,0,0,86,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,2,0,2,0,110,10,14,0,0,0,191,2018,0,Room_Type 6,Online,Meal Plan 1,Canceled
1,0,2,3,0,117,6,5,0,0,0,110,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,4,0,85,7,13,0,0,0,91,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,1,10,20,0,0,0,135,2018,2,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,1,2,0,25,10,17,0,0,0,129,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,4,0,289,12,28,0,0,0,71,2018,2,Room_Type 1,Online,Not Selected,Canceled
2,0,1,4,0,28,10,19,0,0,0,75,2017,0,Room_Type 4,Offline,Meal Plan 1,Not_Canceled
1,0,0,4,0,80,3,29,0,0,0,72,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,0,0,11,10,9,0,0,0,155,2017,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,1,1,0,0,162,7,25,0,0,0,122,2018,2,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,5,0,155,6,28,0,0,0,91,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,2,2,0,82,5,22,0,0,0,110,2018,0,Room_Type 1,Online,N/A,Not_Canceled
3,0,2,4,0,27,4,15,0,0,0,143,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
1,0,1,2,0,13,5,9,0,0,0,90,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,245,6,17,0,0,0,75,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,2,0,11,11,18,0,0,0,111,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,2,0,266,10,30,0,0,0,87,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,0,0,39,0,28,0,0,0,118,2018,1,Room_Type 1,N/A,Meal Plan 1,Not_Canceled
2,0,0,4,0,112,5,4,0,0,0,102,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,2,0,88,4,8,0,0,0,59,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,1,0,56,6,0,0,0,0,120,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,3,0,73,4,7,0,0,0,107,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,1,1,0,80,5,2,0,0,0,127,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,130,9,29,0,0,0,140,2018,2,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,1,3,0,69,4,4,0,0,0,81,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,273,7,17,0,0,0,109,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,0,1,0,0,4,6,0,0,0,104,2018,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
1,0,0,3,0,4,11,1,1,1,5,65,2018,1,N/A,Corporate,Meal Plan 1,Not_Canceled
2,0,0,3,0,97,5,24,0,0,0,140,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,44,2,17,0,0,0,75,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,0,0,0,6,5,0,0,0,109,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,2,0,62,11,12,0,0,0,105,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,2,0,86,4,17,0,0,0,108,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
3,0,2,2,0,3,10,7,0,0,0,216,2018,1,Room_Type 7,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,197,8,1,0,0,0,86,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,143,7,12,0,0,0,105,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,2,1,0,23,1,2,0,0,0,1,2018,0,Room_Type 1,Online,Meal Plan 2,Not_Canceled
2,0,0,2,0,8,6,15,0,0,0,156,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
1,0,0,2,0,13,11,16,0,0,0,73,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,1,1,0,0,11,9,13,0,0,0,87,2017,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,317,9,15,0,0,0,120,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,2,0,185,12,16,0,0,0,79,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,1,3,0,160,6,30,0,0,0,91,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,4,0,104,10,18,0,0,0,91,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,1,0,1,0,11,11,5,0,0,0,150,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,1,0,2,3,22,0,0,0,89,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,22,5,20,0,0,0,140,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,1,2,5,0,37,10,24,0,0,0,88,2017,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,292,7,21,0,0,0,115,2018,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,1,3,0,86,3,31,0,0,0,82,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,72,4,2,0,0,0,96,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,4,0,126,8,15,0,0,0,126,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,2,3,0,303,8,19,0,0,0,78,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,2,2,0,81,11,6,0,0,0,147,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,2,0,54,10,10,0,0,0,119,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,1,0,15,10,6,0,0,0,145,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,2,0,161,3,25,0,0,0,130,2018,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,4,10,0,147,8,3,0,0,0,119,2018,1,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,1,2,0,92,5,30,0,0,0,102,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,1,0,109,3,20,0,0,0,58,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,2,0,418,9,26,0,0,0,107,2018,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,1,4,0,156,8,24,0,0,0,87,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,80,7,16,0,0,0,77,2017,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,2,0,211,12,16,0,0,0,64,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,1,2,0,273,5,13,0,0,0,95,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,1,0,58,11,19,0,0,0,75,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,3,0,433,9,8,0,0,0,70,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,3,0,111,5,2,0,0,0,102,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,4,0,17,12,3,0,0,0,98,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,0,0,4,2,27,0,0,0,0,2018,1,Room_Type 1,Complementary,Meal Plan 1,Not_Canceled
2,0,1,1,0,32,7,18,0,0,0,105,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,1,0,4,9,22,0,0,0,145,2017,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
3,0,2,1,0,195,8,13,0,0,0,106,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,2,0,119,8,13,0,0,0,114,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,1,1,0,13,12,5,0,0,0,88,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,3,0,335,10,13,0,0,0,90,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,0,2,0,0,6,8,0,0,0,109,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,1,0,118,3,1,0,0,0,86,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,107,6,10,0,0,0,130,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,2,2,2,0,144,5,27,0,0,0,178,2018,1,Room_Type 6,Online,Meal Plan 1,Canceled
1,2,2,2,0,4,9,19,0,0,0,201,2017,2,Room_Type 6,Online,Meal Plan 1,Not_Canceled
2,1,0,2,0,15,3,18,0,0,0,127,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,1,2,0,32,2,5,0,0,0,73,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,2,0,22,10,28,0,0,0,90,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,0,0,0,10,18,0,0,0,114,2017,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,1,0,1,1,58,6,21,0,0,0,125,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,6,0,4,8,14,0,0,0,95,2017,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,117,4,29,0,0,0,106,2018,0,Room_Type 5,Online,Meal Plan 1,Canceled
2,0,1,0,0,31,4,24,0,0,0,95,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,1,2,0,1,10,9,0,0,0,139,2017,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,21,9,3,0,0,0,105,2017,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,12,9,14,0,0,0,100,2018,1,Room_Type 1,Corporate,Not Selected,Not_Canceled
2,0,1,0,0,33,2,8,0,0,0,80,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,2,0,164,10,2,0,0,0,100,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,3,1,78,3,24,0,0,0,105,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,4,0,18,5,31,0,0,0,113,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
1,0,1,3,0,0,11,9,0,0,0,91,2017,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
3,0,2,1,0,152,8,13,0,0,0,147,2018,1,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,2,3,0,43,10,2,0,0,0,58,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,1,0,47,5,21,0,0,0,77,2018,0,Room_Type 1,Offline,Not Selected,Not_Canceled
3,0,0,3,0,57,9,7,0,0,0,140,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,2,4,0,60,11,15,0,0,0,76,2017,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,1,0,0,9,16,0,0,0,200,2017,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,102,10,16,0,0,0,102,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,0,3,0,71,10,18,0,0,0,108,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
3,0,1,1,0,1,6,11,0,0,0,166,2018,3,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,4,1,16,0,0,0,68,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,3,0,25,9,14,0,0,0,79,2017,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,2,2,0,209,11,6,0,0,0,152,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,5,0,53,9,2,0,0,0,67,2017,2,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,2,1,0,4,8,23,0,0,0,0,2017,1,Room_Type 1,Complementary,Meal Plan 1,Not_Canceled
2,0,0,3,0,302,12,29,0,0,0,90,2018,2,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,2,0,122,4,15,0,0,0,85,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,4,0,28,8,28,0,0,0,115,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,2,0,161,3,25,0,0,0,130,2018,0,Room_Type 1,Online,Meal Plan 2,Canceled
3,0,0,2,0,57,12,9,0,0,0,126,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,0,0,19,6,12,0,0,0,94,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
3,0,2,4,0,109,7,6,0,0,0,118,2018,4,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,2,1,0,33,3,5,0,0,0,83,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,11,8,18,0,0,0,95,2017,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,3,0,41,5,9,0,0,0,116,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,0,4,0,167,6,28,0,0,0,62,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,0,4,0,62,3,9,0,0,0,64,2018,0,Room_Type 1,Online,Not Selected,Canceled
1,0,1,4,0,113,9,7,0,0,0,119,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,2,1,1,8,10,0,0,0,167,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,2,2,2,0,84,5,13,0,0,0,188,2018,1,Room_Type 6,Online,Meal Plan 1,Not_Canceled
0,2,2,2,0,68,4,24,0,0,0,108,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
3,0,1,2,0,245,10,28,0,0,0,129,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,3,0,80,3,17,0,0,0,80,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,7,8,22,0,0,0,140,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,1,0,100,5,1,0,0,0,105,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,3,0,166,11,1,0,0,0,110,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,1,2,1,0,27,12,27,0,0,0,105,2017,3,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,2,6,0,2,11,16,0,0,0,93,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,3,0,37,10,13,0,0,0,95,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,0,2,0,188,6,15,0,0,0,130,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,1,0,68,1,2,1,1,0,63,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,2,0,189,10,28,0,0,0,110,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,1,0,0,10,5,16,0,0,0,103,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
3,0,2,1,0,19,2,20,0,0,0,130,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,61,3,23,0,0,0,117,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,4,0,95,12,29,0,0,0,61,2017,0,Room_Type 4,Offline,Meal Plan 1,Not_Canceled
2,0,1,3,0,37,8,1,0,0,0,136,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,2,0,2,0,22,9,16,0,0,0,239,2018,2,Room_Type 6,Online,Meal Plan 1,Not_Canceled
2,0,2,5,0,151,7,9,0,0,0,103,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,1,0,26,2,28,0,0,0,87,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,1,0,247,6,6,0,0,0,115,2018,1,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,2,3,0,189,7,17,0,0,0,99,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,320,8,18,0,0,0,115,2018,1,Room_Type 1,Online,Meal Plan 2,Canceled
3,0,1,2,0,27,2,22,0,0,0,130,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,1,0,0,51,5,22,1,0,3,65,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,1,1,2,0,52,7,8,0,0,0,133,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
